Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
45 - 54,South Australia,1776.9,Classified,Social media/Online forums,1300.0,3,3.32
45 - 54,New South Wales,1935.7,Phishing,Phone call,,18,16.64
45 - 54,Queensland,1901.0,Rebate,In person,20000.0,1,2.67
35 - 44,New South Wales,1935.7,Investment,Text message,,1,1.22
35 - 44,New South Wales,1935.7,Online shopping,Email,932.73,5,5.53
65 and over,New South Wales,2126.5,Fake charity,In person,,1,1.18
18 - 24,New South Wales,1935.7,Hacking,Social media/Online forums,,1,1.06
65 and over,Western Australia,2094.3,Dating and romance,Social media/Online forums,0.0,1,1.12
55 - 64,New South Wales,2126.5,Phishing,Text message,0.0,2,7.04
18 - 24,Western Australia,2094.3,Identity theft,Internet,,1,1.16
65 and over,New South Wales,2126.5,"Threats to life, arrest or other",Email,,1,1.72
65 and over,Western Australia,2094.3,Health and medical products,Text message,,1,1.25
25 - 34,New South Wales,1935.7,Identity theft,Phone call,700.0,10,8.76
45 - 54,Queensland,1901.0,Jobs and employment,Social media/Online forums,,1,1.34
35 - 44,Queensland,1901.0,False billing,Phone call,,4,2.94
55 - 64,Victoria,1882.0,Remote access,Phone call,0.0,1,2.76
55 - 64,Tasmania,1710.8,False billing,Email,,2,1.21
35 - 44,Queensland,1901.0,Online shopping,Internet,1262.73,12,6.21
Under 18,New South Wales,1935.7,False billing,Email,,1,1.79
Under 18,New South Wales,1935.7,inheritance and unexpected money,Phone call,,1,1.11
45 - 54,Victoria,1882.0,Jobs and employment,Email,0.0,1,1.23
35 - 44,Western Australia,2094.3,Other,Email,,3,1.78
18 - 24,Victoria,1882.0,Remote access,Email,,1,1.05
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Text message,,1,2.21
25 - 34,Queensland,1901.0,Mobile premium services,Text message,,1,1.1
35 - 44,New South Wales,2126.5,False billing,Phone call,,1,1.05
45 - 54,Western Australia,2094.3,Ransomware and malware,Email,0.0,1,1.09
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Mobile apps,,2,2.59
55 - 64,New South Wales,1935.7,Health and medical products,Text message,,1,3.83
65 and over,South Australia,1776.9,Remote access,Internet,7000.0,2,1.9
