Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
55 - 64,South Australia,1776.9,"Threats to life, arrest or other",Text message,,1,1.49
25 - 34,Victoria,1882.0,Hacking,Phone call,,3,1.14
25 - 34,South Australia,1776.9,Online shopping,Email,110.0,1,1.43
18 - 24,Western Australia,2094.3,Dating and romance,Text message,,1,1.06
35 - 44,Victoria,1882.0,False billing,Phone call,0.0,2,4.26
25 - 34,Queensland,1901.0,Hacking,Text message,,1,1.03
45 - 54,Western Australia,2094.3,Remote access,Phone call,0.0,1,1.56
55 - 64,New South Wales,2126.5,Identity theft,Phone call,,2,1.21
35 - 44,New South Wales,1935.7,Hacking,Phone call,0.0,4,4.47
35 - 44,New South Wales,2126.5,Hacking,Phone call,,1,1.14
18 - 24,New South Wales,1935.7,Overpayment,Text message,,1,1.03
65 and over,Queensland,1901.0,Health and medical products,Email,0.0,3,4.07
45 - 54,Western Australia,2094.3,Jobs and employment,Internet,1890.58,1,1.27
25 - 34,New South Wales,1935.7,Other,Text message,,8,6.37
35 - 44,Queensland,1901.0,Investment,Social media/Online forums,17800.0,3,2.23
55 - 64,South Australia,1776.9,False billing,Email,0.0,3,6.25
Under 18,Queensland,1901.0,Other,Text message,0.0,1,1.24
25 - 34,Victoria,1882.0,Dating and romance,Mobile apps,,1,1.34
18 - 24,South Australia,1776.9,Phishing,Internet,85.0,2,1.1
45 - 54,New South Wales,1935.7,Mobile premium services,Text message,0.0,1,1.09
25 - 34,Victoria,1882.0,Rebate,Text message,,2,1.27
35 - 44,Victoria,1882.0,False billing,Text message,,9,20.83
35 - 44,Western Australia,2094.3,Hacking,Text message,,3,1.11
55 - 64,Western Australia,2094.3,Phishing,Email,,34,25.97
18 - 24,New South Wales,1935.7,False billing,Text message,,3,3.21
45 - 54,New South Wales,1935.7,Overpayment,Social media/Online forums,,1,1.41
55 - 64,Northern Territory,1845.8,Hacking,Text message,,3,1.66
25 - 34,South Australia,1776.9,Jobs and employment,Mobile apps,,1,1.03
55 - 64,New South Wales,1935.7,Other,Mobile apps,,2,1.12
45 - 54,Western Australia,2094.3,Mobile premium services,Phone call,,2,1.28
65 and over,New South Wales,1935.7,Investment,Social media/Online forums,29079.0,2,2.28
55 - 64,Tasmania,1710.8,Identity theft,Internet,133.17,2,1.61
Under 18,Western Australia,2094.3,Phishing,Phone call,,1,2.27
55 - 64,South Australia,1776.9,Overpayment,Text message,,1,1.01
55 - 64,Western Australia,2094.3,Investment,Phone call,0.0,2,1.4
65 and over,New South Wales,1935.7,Fake charity,Email,40000.0,1,6.89
25 - 34,New South Wales,1935.7,Phishing,Email,,3,4.34
25 - 34,Western Australia,2094.3,Mobile premium services,Phone call,,2,1.15
45 - 54,Queensland,1901.0,Remote access,Email,,1,1.62
55 - 64,Western Australia,2094.3,"Travel, prizes and lottery",Email,,1,1.83
25 - 34,New South Wales,1935.7,Other,Phone call,,10,5.85
45 - 54,Northern Territory,1845.8,Hacking,Email,,1,1.2
25 - 34,Queensland,1901.0,Identity theft,Email,0.0,1,2.2
65 and over,Western Australia,2094.3,Investment,Social media/Online forums,398.0,1,1.54
35 - 44,Victoria,1882.0,Identity theft,In person,,1,1.92
45 - 54,Tasmania,1710.8,Rebate,Phone call,0.0,1,1.24
35 - 44,Queensland,1901.0,Other,Social media/Online forums,,2,1.67
35 - 44,South Australia,1776.9,Jobs and employment,Internet,18957.91,2,1.7
35 - 44,Victoria,1882.0,Hacking,Phone call,0.0,1,1.83
45 - 54,Western Australia,2094.3,Health and medical products,Text message,0.0,1,1.4
55 - 64,South Australia,1776.9,Hacking,Text message,,6,2.12
55 - 64,Western Australia,2094.3,Identity theft,Text message,,2,5.64
35 - 44,Queensland,1901.0,"Threats to life, arrest or other",Mobile apps,,2,2.72
45 - 54,South Australia,1776.9,Hacking,Phone call,,3,1.42
25 - 34,Victoria,1882.0,"Threats to life, arrest or other",Phone call,,1,1.49
55 - 64,South Australia,1776.9,Remote access,Text message,,1,1.28
45 - 54,New South Wales,1935.7,Dating and romance,Mobile apps,2500.0,2,1.28
35 - 44,South Australia,1776.9,Classified,Social media/Online forums,100.0,5,3.0
35 - 44,New South Wales,1935.7,Remote access,Email,,1,1.08
65 and over,Western Australia,2094.3,Other,Text message,200.0,7,7.49
55 - 64,Queensland,1901.0,Investment,Mobile apps,50000.0,2,2.02
45 - 54,Victoria,1882.0,Classified,Internet,450.0,3,1.32
25 - 34,New South Wales,2126.5,Investment,Social media/Online forums,1800.0,1,1.53
45 - 54,South Australia,1776.9,Phishing,Email,,7,4.34
45 - 54,Victoria,1882.0,Investment,Phone call,,2,1.58
25 - 34,Western Australia,2094.3,False billing,Text message,,2,5.4
65 and over,Queensland,1901.0,Investment,Email,2000.0,4,5.15
35 - 44,Queensland,1901.0,Hacking,Internet,738.25,2,1.39
18 - 24,Victoria,1882.0,Classified,Social media/Online forums,1200.0,2,2.34
65 and over,New South Wales,1935.7,Dating and romance,Email,,13,5.86
65 and over,New South Wales,1935.7,Dating and romance,Social media/Online forums,,2,1.04
45 - 54,New South Wales,1935.7,inheritance and unexpected money,Text message,,3,1.7
25 - 34,Tasmania,1710.8,Other,Social media/Online forums,,1,1.21
18 - 24,Northern Territory,1845.8,False billing,Mobile apps,,1,1.02
45 - 54,New South Wales,2126.5,"Threats to life, arrest or other",Email,,4,1.93
25 - 34,Victoria,1882.0,Remote access,Text message,,1,1.53
35 - 44,South Australia,1776.9,Other,Social media/Online forums,600.0,1,1.8
35 - 44,Queensland,1901.0,Other,Mobile apps,,1,2.98
18 - 24,New South Wales,1935.7,Other,In person,0.0,1,1.23
65 and over,Western Australia,2094.3,Investment,Phone call,7700.0,2,4.05
45 - 54,Victoria,1882.0,Identity theft,Social media/Online forums,,1,1.93
55 - 64,Queensland,1901.0,Investment,Social media/Online forums,21726.0,1,2.29
55 - 64,Queensland,1901.0,Overpayment,Text message,,4,1.01
25 - 34,Western Australia,2094.3,Jobs and employment,Mail,0.0,1,1.14
65 and over,New South Wales,1935.7,"Travel, prizes and lottery",Text message,0.0,2,1.74
55 - 64,Queensland,1901.0,Rebate,Email,,2,3.13
65 and over,Victoria,1882.0,Hacking,Text message,,5,9.08
65 and over,Queensland,1901.0,Phishing,Mobile apps,14700.0,3,5.17
18 - 24,Western Australia,2094.3,Online shopping,Social media/Online forums,320.0,1,1.22
35 - 44,New South Wales,1935.7,Dating and romance,Social media/Online forums,,1,1.77
55 - 64,Tasmania,1710.8,Classified,Social media/Online forums,100.0,2,2.65
55 - 64,New South Wales,1935.7,Rebate,Email,,8,4.59
18 - 24,Queensland,1901.0,Other,Phone call,,2,2.75
35 - 44,Tasmania,1710.8,Online shopping,Internet,154.7,1,1.72
45 - 54,New South Wales,1935.7,False billing,Phone call,,3,7.07
45 - 54,South Australia,1776.9,Hacking,Internet,,1,3.91
65 and over,Northern Territory,1845.8,False billing,Text message,,1,1.66
65 and over,New South Wales,1935.7,Health and medical products,Text message,,4,4.85
65 and over,Western Australia,2094.3,inheritance and unexpected money,Mail,,2,1.02
65 and over,New South Wales,1935.7,Other,Mail,0.0,1,1.53
65 and over,Victoria,1882.0,False billing,Text message,,9,16.4
35 - 44,South Australia,1776.9,Other,Internet,85.0,1,1.72
35 - 44,Victoria,1882.0,Overpayment,Email,,1,1.14
65 and over,Queensland,1901.0,Online shopping,Internet,3003.0,2,3.21
35 - 44,Queensland,1901.0,Overpayment,Email,,1,1.11
35 - 44,Western Australia,2094.3,Phishing,Text message,,18,15.4
65 and over,Victoria,1882.0,"Threats to life, arrest or other",Email,,1,3.56
55 - 64,Western Australia,2094.3,False billing,Email,,10,5.59
65 and over,Victoria,1882.0,Dating and romance,In person,20000.0,1,1.52
45 - 54,Western Australia,2094.3,Hacking,Text message,,1,5.14
25 - 34,New South Wales,1935.7,Ransomware and malware,Email,,1,2.78
35 - 44,New South Wales,2126.5,False billing,Text message,0.0,1,1.61
Under 18,Victoria,1882.0,Jobs and employment,Mobile apps,2220.0,1,1.53
45 - 54,South Australia,1776.9,Other,Text message,,5,2.53
55 - 64,Victoria,1882.0,Online shopping,Text message,,3,9.38
55 - 64,New South Wales,1935.7,"Threats to life, arrest or other",Social media/Online forums,0.0,1,1.16
55 - 64,New South Wales,2126.5,Hacking,Email,0.0,1,5.83
45 - 54,Western Australia,2094.3,inheritance and unexpected money,Email,,1,1.2
25 - 34,New South Wales,1935.7,Other,Social media/Online forums,700.0,2,2.0
35 - 44,Victoria,1882.0,Dating and romance,unspecified,,1,2.05
55 - 64,Victoria,1882.0,Rebate,Email,,5,2.51
18 - 24,Northern Territory,1845.8,False billing,Social media/Online forums,21890.0,1,1.49
35 - 44,Victoria,1882.0,Investment,Social media/Online forums,11820.0,3,2.5
65 and over,South Australia,1776.9,Hacking,Email,,5,8.47
65 and over,Queensland,1901.0,Classified,Email,8260.0,10,8.43
65 and over,South Australia,1776.9,False billing,Text message,,10,9.18
35 - 44,South Australia,1776.9,Phishing,Text message,,1,8.39
55 - 64,New South Wales,1935.7,Phishing,Email,0.0,37,42.85
65 and over,Queensland,1901.0,"Travel, prizes and lottery",Email,,7,15.15
35 - 44,Queensland,1901.0,Classified,Internet,,2,1.51
25 - 34,Victoria,1882.0,Jobs and employment,Text message,,1,1.21
45 - 54,Victoria,1882.0,Phishing,Internet,,1,1.36
35 - 44,New South Wales,1935.7,Other,Phone call,,5,12.95
18 - 24,Western Australia,2094.3,Identity theft,Phone call,,1,1.34
35 - 44,Northern Territory,1845.8,Investment,Email,,1,1.07
65 and over,New South Wales,1935.7,Identity theft,Email,,35,23.48
65 and over,South Australia,1776.9,Remote access,Social media/Online forums,,1,1.02
18 - 24,New South Wales,1935.7,Health and medical products,Text message,,1,1.33
55 - 64,Victoria,1882.0,Online shopping,Phone call,,2,1.26
45 - 54,South Australia,1776.9,Other,Text message,,3,2.53
65 and over,Queensland,1901.0,inheritance and unexpected money,Phone call,,1,1.15
18 - 24,Victoria,1882.0,Classified,Social media/Online forums,3980.0,7,5.64
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Internet,2300.0,1,1.16
35 - 44,South Australia,1776.9,Other,Internet,359.0,2,1.75
45 - 54,Victoria,1882.0,"Threats to life, arrest or other",Email,,2,1.35
25 - 34,Queensland,1901.0,"Threats to life, arrest or other",Email,,1,1.59
35 - 44,Victoria,1882.0,False billing,Email,,5,4.1
18 - 24,New South Wales,1935.7,Classified,Text message,3500.0,1,1.46
65 and over,Victoria,1882.0,Health and medical products,Email,,2,1.4
55 - 64,Victoria,1882.0,False billing,Phone call,,5,3.44
35 - 44,South Australia,1776.9,Dating and romance,Mobile apps,,1,1.0
65 and over,Western Australia,2094.3,Phishing,Phone call,11500.0,13,14.02
25 - 34,Victoria,1882.0,False billing,Email,938641.27,5,11.69
55 - 64,Victoria,1882.0,Online shopping,Phone call,,2,1.16
65 and over,New South Wales,1935.7,Rebate,Social media/Online forums,,1,1.04
35 - 44,New South Wales,2126.5,Investment,Social media/Online forums,,1,1.22
55 - 64,South Australia,1776.9,Online shopping,Email,,1,1.29
45 - 54,Victoria,1882.0,Hacking,Text message,,3,6.0
65 and over,Western Australia,2094.3,Investment,Mobile apps,20000.0,1,1.32
25 - 34,Queensland,1901.0,Hacking,Text message,0.0,3,2.6
55 - 64,New South Wales,2126.5,Remote access,Phone call,,1,1.2
55 - 64,Northern Territory,1845.8,Other,Mail,0.0,1,1.02
65 and over,Tasmania,1710.8,Mobile premium services,Phone call,0.0,1,1.11
18 - 24,Northern Territory,1845.8,Phishing,Social media/Online forums,,1,1.24
18 - 24,Victoria,1882.0,Classified,Text message,,1,1.07
65 and over,Victoria,1882.0,Classified,Text message,,1,2.71
45 - 54,Western Australia,2094.3,"Threats to life, arrest or other",Phone call,,1,1.1
35 - 44,Western Australia,2094.3,Hacking,Internet,,1,1.07
65 and over,Victoria,1882.0,Rebate,Text message,,1,2.54
25 - 34,New South Wales,1935.7,Remote access,Text message,,1,1.93
25 - 34,Northern Territory,1845.8,"Threats to life, arrest or other",Text message,0.0,1,1.21
45 - 54,Victoria,1882.0,Mobile premium services,Phone call,0.0,1,2.1
55 - 64,Western Australia,2094.3,False billing,Email,14603.5,15,14.26
18 - 24,Queensland,1901.0,Investment,Phone call,,1,1.09
55 - 64,Victoria,1882.0,Classified,Text message,,3,1.31
65 and over,New South Wales,1935.7,False billing,Mail,,1,1.0
25 - 34,New South Wales,1935.7,False billing,Email,63.0,10,5.4
65 and over,Western Australia,2094.3,Ransomware and malware,Internet,,2,1.03
45 - 54,Northern Territory,1845.8,Rebate,Text message,,1,1.46
45 - 54,New South Wales,2126.5,Investment,Email,,1,1.11
45 - 54,South Australia,1776.9,Other,Text message,400.0,6,4.42
25 - 34,Queensland,1901.0,Other,Text message,0.0,6,3.31
35 - 44,Victoria,1882.0,Pyramid schemes,Mobile apps,0.0,1,1.03
65 and over,New South Wales,1935.7,Hacking,Phone call,,4,4.51
35 - 44,Queensland,1901.0,False billing,Phone call,,3,2.94
35 - 44,Victoria,1882.0,Jobs and employment,Text message,68000.0,2,1.51
65 and over,New South Wales,1935.7,Identity theft,Email,3381.0,22,44.43
18 - 24,Victoria,1882.0,"Threats to life, arrest or other",Phone call,,1,1.04
25 - 34,South Australia,1776.9,Other,Mail,393.0,1,1.04
25 - 34,Victoria,1882.0,False billing,Text message,,10,7.71
35 - 44,New South Wales,1935.7,Jobs and employment,Social media/Online forums,285500.0,2,3.73
65 and over,Western Australia,2094.3,False billing,Mobile apps,645.0,2,1.33
35 - 44,New South Wales,2126.5,Online shopping,Internet,579.28,2,2.22
55 - 64,Western Australia,2094.3,Online shopping,Internet,166.0,3,1.17
25 - 34,Queensland,1901.0,Online shopping,Social media/Online forums,573.45,9,5.74
55 - 64,Queensland,1901.0,Classified,Social media/Online forums,2150.0,5,5.22
35 - 44,Victoria,1882.0,Hacking,Mobile apps,,1,1.18
45 - 54,South Australia,1776.9,Other,Phone call,0.0,4,5.05
25 - 34,Victoria,1882.0,Rebate,Phone call,,1,2.33
25 - 34,Victoria,1882.0,Phishing,Text message,9136.0,12,17.14
55 - 64,Queensland,1901.0,Health and medical products,Text message,,2,1.97
55 - 64,New South Wales,2126.5,Online shopping,Social media/Online forums,150.0,2,1.55
45 - 54,New South Wales,1935.7,Jobs and employment,Mobile apps,22698.0,1,2.48
65 and over,Victoria,1882.0,Phishing,Mail,,1,1.34
35 - 44,New South Wales,1935.7,Overpayment,Email,440.0,1,1.85
55 - 64,Western Australia,2094.3,Phishing,Email,425.0,28,25.05
25 - 34,Western Australia,2094.3,Identity theft,Social media/Online forums,958.76,1,1.07
45 - 54,New South Wales,1935.7,Online shopping,Phone call,,3,2.0
65 and over,New South Wales,1935.7,Classified,Social media/Online forums,900.0,3,2.5
35 - 44,Victoria,1882.0,"Travel, prizes and lottery",Social media/Online forums,,1,1.07
65 and over,Queensland,1901.0,Identity theft,Mobile apps,1000.0,1,1.25
55 - 64,New South Wales,1935.7,Online shopping,Phone call,,1,1.08
55 - 64,New South Wales,1935.7,Classified,Email,,2,5.3
55 - 64,Western Australia,2094.3,False billing,Email,114.56,19,12.75
65 and over,Victoria,1882.0,Ransomware and malware,Email,0.0,1,2.91
25 - 34,Victoria,1882.0,Identity theft,Phone call,,2,5.66
45 - 54,Western Australia,2094.3,Dating and romance,Internet,1193.9,1,1.19
25 - 34,New South Wales,1935.7,Identity theft,Email,,2,3.2
25 - 34,Northern Territory,1845.8,Identity theft,Phone call,,1,1.01
35 - 44,Victoria,1882.0,Other,Internet,,1,1.34
55 - 64,Northern Territory,1845.8,Phishing,Text message,,5,5.4
25 - 34,South Australia,1776.9,Rebate,Text message,,1,1.19
35 - 44,South Australia,1776.9,Other,Phone call,,3,3.91
65 and over,Northern Territory,1845.8,False billing,Text message,,1,1.66
Under 18,Queensland,1901.0,Other,Text message,,1,1.26
45 - 54,Western Australia,2094.3,"Travel, prizes and lottery",Phone call,0.0,1,1.25
55 - 64,Queensland,1901.0,Remote access,Phone call,,3,3.02
65 and over,Victoria,1882.0,Hacking,Internet,,1,1.87
45 - 54,Western Australia,2094.3,Identity theft,Phone call,,3,2.4
65 and over,New South Wales,1935.7,Overpayment,Phone call,,2,1.07
45 - 54,Victoria,1882.0,Rebate,Email,,1,1.93
35 - 44,Western Australia,2094.3,Hacking,Text message,,1,1.11
45 - 54,Victoria,1882.0,Identity theft,Phone call,,5,3.27
35 - 44,Victoria,1882.0,Ransomware and malware,Email,,1,1.96
65 and over,Victoria,1882.0,Rebate,Mail,0.0,1,1.12
25 - 34,New South Wales,2126.5,Hacking,Internet,540.0,1,1.07
65 and over,Western Australia,2094.3,Investment,Social media/Online forums,413.77,2,1.5
65 and over,Queensland,1901.0,Online shopping,Text message,,5,1.98
65 and over,Tasmania,1710.8,Online shopping,Phone call,0.0,1,1.44
35 - 44,Victoria,1882.0,Identity theft,Phone call,0.0,5,6.99
65 and over,New South Wales,1935.7,inheritance and unexpected money,Email,,6,6.31
55 - 64,New South Wales,1935.7,Classified,Phone call,,1,1.29
55 - 64,Victoria,1882.0,False billing,Text message,,35,25.47
Under 18,New South Wales,1935.7,Phishing,Email,,1,1.48
35 - 44,Tasmania,1710.8,Remote access,Phone call,,1,1.11
25 - 34,South Australia,1776.9,Mobile premium services,Phone call,0.0,2,1.04
65 and over,Western Australia,2094.3,Remote access,Email,,2,2.47
55 - 64,Queensland,1901.0,False billing,Text message,,16,30.33
25 - 34,New South Wales,2126.5,Classified,Email,3000.0,1,1.11
45 - 54,New South Wales,1935.7,Classified,Internet,1102.0,5,2.04
55 - 64,South Australia,1776.9,Fake charity,Phone call,,1,1.02
65 and over,South Australia,1776.9,Health and medical products,Email,,1,3.37
65 and over,Queensland,1901.0,Investment,Phone call,50144.98,3,4.49
35 - 44,New South Wales,1935.7,Phishing,Text message,824.0,34,43.79
65 and over,Tasmania,1710.8,Other,Phone call,,7,2.38
25 - 34,New South Wales,2126.5,Other,Text message,,1,1.0
45 - 54,New South Wales,1935.7,Other,In person,,2,1.77
65 and over,New South Wales,1935.7,Dating and romance,Text message,0.0,1,1.04
25 - 34,New South Wales,1935.7,Identity theft,Text message,28000.0,3,7.79
45 - 54,Queensland,1901.0,Online shopping,Email,700.0,1,7.05
65 and over,Queensland,1901.0,Online shopping,Text message,,8,4.51
65 and over,New South Wales,1935.7,Mobile premium services,Phone call,,2,1.85
65 and over,Tasmania,1710.8,Other,Text message,,1,1.35
25 - 34,Northern Territory,1845.8,Rebate,Email,,1,1.33
18 - 24,Victoria,1882.0,Phishing,Phone call,4565.47,4,4.04
35 - 44,New South Wales,1935.7,Other,Text message,800.0,10,7.22
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,,1,1.74
35 - 44,Queensland,1901.0,False billing,Email,200.0,9,4.63
35 - 44,New South Wales,1935.7,Phishing,Email,0.0,15,9.78
35 - 44,Queensland,1901.0,False billing,Text message,406.61,14,14.68
35 - 44,New South Wales,1935.7,Other,Email,0.0,1,3.64
65 and over,Victoria,1882.0,Overpayment,Email,,2,2.64
25 - 34,Northern Territory,1845.8,Online shopping,Internet,,1,1.03
18 - 24,South Australia,1776.9,Other,Text message,,2,1.41
55 - 64,New South Wales,1935.7,Phishing,Text message,24497.5,86,83.69
18 - 24,Victoria,1882.0,Online shopping,Email,156.44,3,1.64
25 - 34,New South Wales,1935.7,Other,Email,,1,2.14
25 - 34,Victoria,1882.0,Hacking,Mail,0.0,1,1.09
65 and over,New South Wales,1935.7,Online shopping,Text message,,4,5.83
