Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
65 and over,New South Wales,1935.7,Identity theft,Text message,0,26,9.69
25 - 34,New South Wales,1935.7,Identity theft,Mail,0,1,1.94
65 and over,New South Wales,1935.7,Online shopping,Social media/Online forums,1499.9,4,7.22
18 - 24,New South Wales,1935.7,Overpayment,Social media/Online forums,100,1,0.79
25 - 34,Queensland,1901,Investment,Mobile apps,510,1,1.26
25 - 34,New South Wales,1935.7,False billing,Email,0,2,5.91
45 - 54,New South Wales,1935.7,Remote access,Text message,0,1,2.98
25 - 34,Western Australia,2094.3,Classified,Social media/Online forums,1350,3,1.66
65 and over,Tasmania,1710.8,Other,Text message,0,1,6.08
55 - 64,Victoria,1882,Dating and romance,Mobile apps,10000,2,2.19
35 - 44,Queensland,1901,Ransomware and malware,Email,0,1,1.48
65 and over,Queensland,1901,Remote access,Text message,0,2,5.56
18 - 24,Western Australia,2094.3,Rebate,Social media/Online forums,0,1,0.03
35 - 44,New South Wales,1935.7,inheritance and unexpected money,Text message,0,1,2.1
55 - 64,Victoria,1882,Identity theft,Text message,0,4,6.54
45 - 54,Queensland,1901,Rebate,Email,0,2,1.87
45 - 54,Victoria,1882,Identity theft,Email,0,3,5.1
18 - 24,Western Australia,2094.3,Classified,Text message,130,1,0.79
65 and over,Queensland,1901,Phishing,Text message,2500,111,106.14
25 - 34,New South Wales,1935.7,Phishing,Internet,6893.87,2,0.13
18 - 24,Victoria,1882,Identity theft,Text message,0,1,3.83
35 - 44,New South Wales,2126.5,"Threats to life, arrest or other",Phone call,0,1,0.49
25 - 34,Victoria,1882,Classified,Text message,0,3,2.69
65 and over,Victoria,1882,"Travel, prizes and lottery",Text message,0,1,5.62
45 - 54,Northern Territory,1845.8,Online shopping,Text message,0,1,2.08
65 and over,Tasmania,1710.8,False billing,Phone call,0,1,3.94
18 - 24,New South Wales,1935.7,Remote access,Social media/Online forums,2625,1,2.06
18 - 24,New South Wales,1935.7,Online shopping,Text message,0,1,5.12
45 - 54,New South Wales,1935.7,Other,Phone call,0,15,4.76
25 - 34,Victoria,1882,Investment,Phone call,0,2,1.79
65 and over,Victoria,1882,Investment,Email,0,2,6.71
45 - 54,Queensland,1901,inheritance and unexpected money,Email,0,5,1.79
25 - 34,Queensland,1901,Hacking,Phone call,0,2,2.01
25 - 34,Victoria,1882,Other,Phone call,0,8,3.36
35 - 44,New South Wales,1935.7,Remote access,Text message,0,1,2.46
45 - 54,New South Wales,2126.5,False billing,Email,0,2,3.27
45 - 54,New South Wales,1935.7,Online shopping,Email,915.02,10,7.88
35 - 44,Victoria,1882,Remote access,Phone call,4000,6,2.69
35 - 44,Western Australia,2094.3,Other,Text message,0,5,4.58
25 - 34,Victoria,1882,"Threats to life, arrest or other",Social media/Online forums,1000,1,1.78
35 - 44,Western Australia,2094.3,Overpayment,Email,510,1,0.44
55 - 64,Victoria,1882,False billing,Text message,0,15,9.08
45 - 54,Queensland,1901,"Threats to life, arrest or other",Email,0,1,1.87
45 - 54,Western Australia,2094.3,Investment,Social media/Online forums,369.06,1,0.93
25 - 34,South Australia,1776.9,Hacking,Text message,0,1,0.67
25 - 34,Western Australia,2094.3,Health and medical products,Social media/Online forums,25,1,0.21
65 and over,New South Wales,1935.7,Hacking,Text message,0,4,7.18
45 - 54,South Australia,1776.9,Online shopping,Internet,55.45,1,0.53
55 - 64,Victoria,1882,Other,Text message,0,13,8.71
45 - 54,Victoria,1882,Ransomware and malware,Phone call,0,1,1.92
55 - 64,New South Wales,1935.7,Phishing,Phone call,0,26,17.48
35 - 44,Victoria,1882,Jobs and employment,Email,0,2,1.9
65 and over,South Australia,1776.9,"Travel, prizes and lottery",Email,0,6,3.7
35 - 44,New South Wales,2126.5,Other,Phone call,0,1,1.78
